name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Quirky Scottish apartment on the Royal Mile!,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,2,1000,94
"Bright, unique, quiet and central flat",Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,80,99
Gattopardo Edinburgh Holiday House,Broughton North and Powderhall,Townhouse,Entire home/apt,6,1,2,3,90,91
Edinburgh Garden Apartment,Deans Village,Apartment,Entire home/apt,6,2,3,4,150,94
Parliament Square - Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,2,3,180,96
"APARTMENT 2 bed, family friendly & FREE parking",Bonnington,Apartment,Entire home/apt,4,1.5,2,2,79,97
"Mia Apartment, Edinburgh City",Broughton South,Apartment,Entire home/apt,6,2,2,1,85,89
Large room in disabled friendly flat - Bruntsfield,Bruntsfield,Apartment,Private room,2,2,1,2,50,98
"Papermill Wynd Chiara Apartment,",Pilrig,Apartment,Entire home/apt,6,2,2,4,85,93
Victorian flat in Bruntsfield,Merchiston and Greenhill,Apartment,Entire home/apt,4,1,2,2,100,93
Wonderful/beautiful room Edinburgh,Comiston and Swanston,House,Private room,2,2,1,1,44,97
Edinburgh Old town Blair st hol/let,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,85,96
Meadows Apartment B (castle view),Marchmont West,Apartment,Entire home/apt,7,1,3,5,120,89
"Dario Apartment, Edinburgh",Broughton South,Condominium,Entire home/apt,6,2,2,3,85,92
Stunning villa by Holyrood Park -parking & garden!,Willowbrae and Duddingston Village,Villa,Entire home/apt,6,2,2,3,125,94
"City centre. Walk to Castle, Museum etc. Own bath.",Meadows and Southside,Townhouse,Private room,2,1,1,1,44,97
"City centre, Near Carlton Hill, Main door.","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,150,99
"Warm, peaceful double room with private showerroom",Shandon,Apartment,Private room,2,1,1,1,35,98
"Warm, peaceful, sunny twin/double/triple room",Shandon,Apartment,Private room,3,1,1,3,40,96
