name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
1 bed Apartment on Leith Walk,Pilrig,Apartment,Entire home/apt,2,1.5,1,1,100,100
Lovely Traditional City Centre Flat,Broughton South,Apartment,Entire home/apt,4,1,2,2,100,93
"Stylish, modern city centre flat with parking",New Town West,Apartment,Entire home/apt,4,1,2,3,95,98
Studio Apartment with Castle View,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,0,1,80,98
Ross Residence in Edinburgh,Bonnington,Apartment,Entire home/apt,7,2,4,6,150,100
Haymarket 2 bedroom City Centre Apt (with parking),Dalry and Fountainbridge,Apartment,Entire home/apt,5,1,2,4,68,96
Country Setting by Heriot Watt University,Currie West,House,Private room,2,1,1,1,35,98
Great flat for festival and city,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,3,3,140,80
Edinburgh Near Centre Luxury apartm,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1.5,1,2,50,94
Comfortable Room in lovely flat,Comely Bank,Apartment,Private room,2,1,1,1,50,93
Spacious apartment close to Royal Mile,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,1,1,59,97
CentralEdinburgh Georgian Apartment,New Town West,Apartment,Entire home/apt,6,2.5,3,3,180,97
"The Secret Apartment, Grassmarket, Edinburgh","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,75,98
3 bedroom city flat with parking,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,6,1,3,4,160,96
"Comfortable, compact single bedroom available.",Corstorphine,Apartment,Private room,1,1,1,1,50,98
Grassmarket - very central,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,2,4,110,92
Spacious Victorian Meadows Flat - Sleeps 7,Marchmont West,Apartment,Entire home/apt,7,1,3,4,96,89
"Double room nr beach, bike friendly",Joppa,Apartment,Private room,2,0.5,1,1,39,100
West End Garden Apartment Room 1,Deans Village,Apartment,Private room,2,1,1,1,70,99
"Stunning double room, castle views",Comely Bank,Apartment,Private room,2,1,1,1,110,98
City Centre Victorian by Meadows,Tollcross,Apartment,Entire home/apt,2,1,1,1,60,98
Georgian Flat in the New Town,Broughton North and Powderhall,Apartment,Private room,2,1,1,1,41,100
Central One Bedroom Flat,Dalry and Fountainbridge,Apartment,Entire home/apt,4,0.5,1,1,50,91
Spacious twin or double room,Deans Village,Apartment,Private room,2,1,1,2,85,97
Morningside mews,Morningside,Townhouse,Private room,2,1,1,1,55,97
Guthrie Street apartment in Old Town. FESTIVAL,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,2,4,199,100
"LORNE ST, LEITH: 3 DOUBLE BDR FLAT",South Leith,Apartment,Entire home/apt,6,1,3,3,150,100
348 - Charming studio apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,0,1,249,98
Beautiful double in 200-year old UNESCO property,Hillside and Calton Hill,Guesthouse,Private room,2,1,1,1,100,NA
Award Winning Bijou Apartment,Tollcross,Apartment,Entire home/apt,2,1,1,1,125,98
The Ocean Drive Residence,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,2,2,3,159,100
Comfortable flat with double bedroom available,Prestonfield,Apartment,Private room,2,1,1,1,60,100
Perfect Location 2 Bedroom Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,2,2,80,96
Cosy Double Room in Premium Meadows Flat,Marchmont West,Apartment,Private room,2,1,1,1,46,91
Private bedroom in beautiful Victorian town house.,"Blackford, West Mains and Mayfield Road",House,Private room,1,1,1,1,30,100
Edinburgh Waterfront Apartments,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,2,2,2,280,NA
OUR ECLECTIC CASTLE VIEW APARTMENT,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,2,125,98
217 - Cosy 1 bedroom apartment,New Town East and Gayfield,Apartment,Entire home/apt,3,1,1,1,285,90
"Centrally located, entire New Town flat",New Town West,Apartment,Entire home/apt,2,1.5,1,1,70,97
Botanic Gardens Bed and Breakfast standard double,Broughton North and Powderhall,Boutique hotel,Private room,2,1,1,1,119,93
Great groundfloor Colony flat & garden.,North Leith and Newhaven,Apartment,Entire home/apt,2,1,1,2,40,97
Traditional Flat in Edinburgh City Centre.,Tollcross,Apartment,Entire home/apt,3,1,1,1,100,93
"Spacious, quiet city centre flat",Comely Bank,Apartment,Entire home/apt,4,1,2,3,180,96
Modern City Centre Apartment,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,1,3,95,84
"Large sunny twin room, by the Canal.",Craiglockhart,Apartment,Private room,2,1,1,2,35,100
Very Central Property: Sleeps 6ppl,New Town West,Apartment,Entire home/apt,6,2,3,6,160,98
Escape to the City,Leith (Hermitage and Prospect Bank),Apartment,Entire home/apt,4,1,2,2,75,97
Perfect Hogmanay Meadows Apartment - Sleeps 7,Marchmont West,Apartment,Entire home/apt,7,1,3,4,480,87
Lovely Leith flat with spare room!,South Leith,Apartment,Private room,2,1,1,1,50,97
Multiple apartments Close to each other Old Town,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,16,3.5,5,16,400,89
4 Person Tent,"Ratho, Ingliston and Gogar",Campsite,Entire home/apt,4,0,2,2,86,NA
Pretty Double Room,East Craigs North,House,Private room,2,1,1,1,45,98
City Centre@Quartermile Apartment,Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,110,98
Holyrood Park View,"Canongate, Southside and Dumbiedykes",Apartment,Private room,1,1,1,1,45,98
Entire home in Edinburgh,Gorgie East,Apartment,Entire home/apt,6,2,3,3,120,96
City centre Nice  double room,Tollcross,Apartment,Private room,3,1,1,2,30,84
Flat in the heart of Edinburgh,Canonmills and New Town North,Apartment,Entire home/apt,3,1,2,2,70,NA
Double room in spacious flat in central Edinburgh,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,30,95
"Boutique City Centre Studio Apt,",Meadows and Southside,Apartment,Entire home/apt,2,1,0,1,78,97
Bright City Centre Apartment,Dalry and Fountainbridge,Apartment,Entire home/apt,2,1,1,1,55,97
Garden Flat in Edinburgh,Shandon,Apartment,Entire home/apt,4,1,2,2,150,100
Private apartment Near Meadows,Meadows and Southside,Apartment,Entire home/apt,4,1,1,3,70,80
"2.5 Bedroom flat, walk to city centre",Hillside and Calton Hill,Apartment,Entire home/apt,5,1,2,2,294,100
Fantastic Central  2 bedroom Flat,Dalry and Fountainbridge,Apartment,Entire home/apt,5,1,2,2,95,96
Elegant central  2 bedroom flat,Tollcross,Apartment,Entire home/apt,6,1,2,2,95,97
Bright airy en-suite near the sea.,Joppa,Apartment,Private room,2,2,1,1,40,98
"Relaxing Garden Apartment, Edinburgh",Abbeyhill,House,Entire home/apt,4,1,1,2,65,98
2 Person Tent - twin room,"Ratho, Ingliston and Gogar",Tent,Private room,2,0,1,2,43,80
"Functional 2BD, well communicated.",Craigmillar,Apartment,Entire home/apt,4,1,2,2,85,97
Double Bedroom in Central Edinburgh,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,80,100
"Newly refurbished, charming, city centre apartment",Broughton North and Powderhall,Apartment,Entire home/apt,2,1,1,1,100,100
"Sunny, quiet, huge central flat",New Town East and Gayfield,Apartment,Entire home/apt,4,2,2,2,300,96
Tradition first floor flat in Bruntsfield,Bruntsfield,Apartment,Entire home/apt,4,1,2,2,45,96
Canal-side flat with castle view.,Tollcross,Apartment,Entire home/apt,4,1,1,2,999,94
Fabulous House Close to Centre,"Inverleith, Goldenacre and Warriston",House,Entire home/apt,8,3.5,4,8,320,100
1 Person Tent (double air bed),"Ratho, Ingliston and Gogar",Tent,Private room,1,0,1,1,27,100
Botanic Garden Apartment Edinburgh,"Inverleith, Goldenacre and Warriston",Apartment,Entire home/apt,4,1,2,3,95,96
Modern Apt. free private parking,Mountcastle,Apartment,Entire home/apt,6,1,3,4,185,98
Large double/twin in city centre,Hillside and Calton Hill,Apartment,Private room,2,1,1,2,42,93
Edinburgh Holyrood 2 Bedroom Apartment,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,2,2,2,120,100
Bright top floor flat in central Edinburgh,Meadows and Southside,Apartment,Entire home/apt,6,1,3,4,10,60
Nice small-double bedroom,The Shore and Constitution Street,Apartment,Private room,2,1,1,1,45,97
GRAND & SPACIOUS CENTRAL APT WITH WIFI,Broughton South,Apartment,Entire home/apt,2,1,1,1,89,93
The Scottie room,Joppa,House,Private room,2,1,1,3,50,97
Garden Flat in the heart of Festival,Meadows and Southside,Apartment,Entire home/apt,3,1,1,1,67,93
Beautiful New Town/Stockbridge Apartment,Stockbridge,Apartment,Entire home/apt,2,1,1,1,60,96
"Single Rm, grnd floor festival flat",Meadows and Southside,Apartment,Private room,1,1.5,1,1,18,100
Fantastic Central Base 50km views,Deans Village,Apartment,Entire home/apt,12,2,4,6,310,95
"Cosy, bright flat, near City.",Gorgie West,Apartment,Entire home/apt,2,1,1,2,39,87
The cream room,Joppa,House,Private room,2,1,1,3,50,93
Bright top floor 1 bed flat central,Broughton South,Apartment,Entire home/apt,2,1,1,1,99,96
5 bedroom town-house spread-out over 4 floors,Stockbridge,House,Entire home/apt,7,4,5,5,600,100
Doris&Ed welcome you to their home.,Liberton West and Braid Hills,House,Private room,2,2,1,1,40,NA
Martins Guest House,Bruntsfield,Bed and breakfast,Private room,3,1,1,3,100,NA
Comfortable flat in quiet location near Holyrood.,Abbeyhill,Apartment,Entire home/apt,4,1,2,2,70,98
"Fabulous Apartment, Central Edinburgh, New Town",Deans Village,Apartment,Entire home/apt,2,1,1,1,85,96
Lovely Twin/Dbl Rm in v. good area.,"Blackford, West Mains and Mayfield Road",House,Private room,2,1.5,1,2,46,96
Light Bright Great Views + address,Meadows and Southside,Apartment,Entire home/apt,12,2,5,5,410,86
No19 The Loft,New Town West,Apartment,Entire home/apt,14,5,5,14,350,99
"Amazing Views, Ample & Bright Flat","Inverleith, Goldenacre and Warriston",Apartment,Entire home/apt,4,1,2,2,80,99
Double Bedroom 14.04-28.04.15,Dalry and Fountainbridge,Apartment,Private room,2,2,1,1,35,NA
Cute Central Flat for 2-4,Dalry and Fountainbridge,Apartment,Entire home/apt,2,1,1,1,99,100
"Edinburgh 4 bedroom flat, July",Deans Village,Apartment,Entire home/apt,4,3,4,4,150,NA
The Brunswick Street Residence,Hillside and Calton Hill,Apartment,Entire home/apt,8,2,3,3,196,93
Castle Steps Apartment great views central eh1,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,120,96
"Fun, bright and romantic attic flat by Castle",Tollcross,Apartment,Entire home/apt,4,1,1,2,130,96
Central flat in heart of Edinburgh Festival area,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,2,90,87
Room with Links/Castle view,Marchmont West,Apartment,Private room,2,1,1,1,53,98
Grassmarket Approach,"Old Town, Princes Street and Leith Street",Condominium,Entire home/apt,3,1,1,2,60,96
Beautiful Royal Mile apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,2,300,95
Excellent 2 Bedroom Flat. Quiet Central Location,Broughton South,Apartment,Entire home/apt,4,1,2,2,95,95
Charming Apartment in the Old Town,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1.5,2,6,100,98
Spectacular open plan loft space,The Shore and Constitution Street,Loft,Entire home/apt,5,2,2,3,150,97
Large Traditional Georgian Central Edinburgh Apt,New Town West,Apartment,Entire home/apt,8,2,3,4,169,95
City centre Victorian near park,Tollcross,Apartment,Private room,2,1,1,1,70,97
"Royal Mile apt, just 1 min from Edinburgh Castle!","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1.5,1,1,60,93
Bright & clean 2 person central flat in Edinburgh,Dalry and Fountainbridge,Apartment,Entire home/apt,2,0.5,1,1,75,98
Central Edinburgh Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,2.5,2,2,103,95
"Spacious 2 bed flat, The Shore.",Western Harbour and Leith Docks,Apartment,Entire home/apt,5,2,2,3,200,100
Fantastic ground floor 2 bedroom apartment,Niddrie,Apartment,Entire home/apt,4,1,2,2,49,97
Lovely flat in trendy Morningside,Morningside and Craighouse,Apartment,Entire home/apt,4,1,2,3,80,87
Bright 2 bedroom near city centre,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,2,2,100,80
Stylish 1BD flat in the City Centre,Tollcross,Apartment,Entire home/apt,2,1,1,1,49,89
"Fantastic, welcoming, bright flat in the Old Town","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,95,94
"Central and bright, 1 Bed Apartment",Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,80,98
"Great Leith Location,Double Room",Western Harbour and Leith Docks,Apartment,Private room,2,1,1,1,38,97
"Comfortable, quiet, 2 bedroom apt, free parking",Mortonhall and Anwickhill,Condominium,Entire home/apt,4,1,2,3,80,98
Comfortable double bedroom near zoo.,Corstorphine,House,Private room,2,1,1,1,41,97
"Homely, traditional Edinburgh flat.",Shandon,Apartment,Entire home/apt,2,1,1,1,82,95
Modern and bright flat in Edinburgh’s Quartermile.,Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,90,99
"Spacious, stylish double (BnB)",Western Harbour and Leith Docks,Apartment,Private room,2,1,1,1,45,100
Sunshine on Leith,Great Junction Street,Apartment,Entire home/apt,4,1,1,2,75,100
5* - Spacious - New Town Apartment- 4 Bed & 4 Bath,New Town West,Apartment,Entire home/apt,8,4,4,5,525,99
Huge New town city centre apartment Sleeps 16,Deans Village,Apartment,Entire home/apt,16,3,7,11,299,87
University one semester International Student Home,Bruntsfield,Townhouse,Private room,16,9,13,17,35,NA
Huge Haymarket Apartment sleeps 19 in city centre,Deans Village,Apartment,Entire home/apt,16,3,7,14,398,88
Huge flat 1 min walk from train station Sleeps 20,Deans Village,Apartment,Entire home/apt,16,3,5,17,365,96
Large Double Room -  Includes Self Serve Breakfast,Corstorphine,Bungalow,Private room,2,1,1,1,30,98
Quality Studio Apartment in NewTown,Canonmills and New Town North,Apartment,Entire home/apt,2,1,1,1,60,91
FESTIVAL 2 DBL BED APPT W/ PARKING,Polwarth,Apartment,Entire home/apt,4,1,2,2,120,92
Queen Street One Apartment,Deans Village,Apartment,Entire home/apt,4,2,2,3,165,98
House in EDINBURGH (Holyrood),"Canongate, Southside and Dumbiedykes",House,Entire home/apt,5,1.5,2,4,110,96
Violet Bank Apartments Morningside,Morningside,Apartment,Entire home/apt,4,1,2,2,220,97
HILLHOUSE RETREAT  FREE PARKING SLEEPS 4,North Leith and Newhaven,Apartment,Entire home/apt,4,1,2,2,75,94
Bright Room  Great Location,Leith (Hermitage and Prospect Bank),Apartment,Private room,1,1,1,1,85,97
Edinburgh City Centre Apartment,Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,99,95
"Castle View, Central Location",Tollcross,Apartment,Entire home/apt,3,1,1,2,70,98
DOUBLE BED & COOKED BREAKFAST,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,49,96
New flat in traditional building,South Leith,Apartment,Entire home/apt,2,1,1,1,70,100
Classy City Centre Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,120,99
Unwind in the Mezzanine Dining Space at a West End Abode,Comely Bank,Apartment,Entire home/apt,4,1,2,2,112,98
Character Flat in Edinburgh's Old Town,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,7,2,3,4,175,94
"Double room with sea view, Edinburgh",Portobello,Apartment,Private room,1,1,1,1,47,100
A beautiful room called Provencal,Shandon,Bed and breakfast,Private room,2,1,1,1,60,99
A lovely cosy place called the Attic Style room.,Shandon,Bed and breakfast,Private room,2,1,1,1,39,97
Large flat near Botanic Gardens,"Inverleith, Goldenacre and Warriston",Apartment,Entire home/apt,3,1,2,2,75,99
Three Nine Three Old Tolbooth with Private Parking,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,415,96
Hamish's Hame,Merchiston and Greenhill,Apartment,Entire home/apt,4,1,1,2,78,99
Pretty flat near city centre,Comely Bank,Apartment,Private room,2,1,1,1,89,98
Edinburgh Double Room Including  Vegan Breakfast,"Blackford, West Mains and Mayfield Road",Apartment,Private room,2,1,1,1,50,98
Bijou Flat in South City Centre,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,2,1,1,1,67,99
2 bedroom apartment with car park,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,2,2,2,80,93
4 New Assembly Close - Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,3,3,150,93
Room in a Modern Flat near City Centre,Bruntsfield,Apartment,Private room,2,1,1,1,45,100
Modern Central Flat in West Montgomery Place,Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,67,99
Royal Mile Art apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,2,3,3,200,100
Your retreat in historic City Centre penthouse,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,62,99
Gorgeous Quartermile flat Edinburgh,Meadows and Southside,Apartment,Private room,2,1,1,1,45,73
Allanfield Residence (Sleeps 3-4),Leith (Albert Street),Condominium,Entire home/apt,4,1,1,2,95,93
Hip Wee Box Room in New Town,Hillside and Calton Hill,Apartment,Private room,1,1,0,1,25,96
Charming 1820s cottage in the city,Bonaly and The Pentlands,Cottage,Private room,2,1,1,1,35,99
Stay on Edinburgh’s Iconic Skyline with Incredible Views,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,2,2,2,160,99
"Entire flat just for Hogmanay, 1 bedroom, boxroom.",Hillside and Calton Hill,Apartment,Private room,2,1,1,1,29,98
TWIN ROOM WITH PRIVATE BATHROOM,The Grange,Townhouse,Private room,2,1,1,2,60,92
St Giles Views | Historic Building | City-Centre.,"Old Town, Princes Street and Leith Street",Apartment,Private room,2,1,1,1,32,98
"Quiet, leafy, but only 400m to Cafes & City Access",Merchiston and Greenhill,Apartment,Private room,1,1,1,1,40,96
Bright and Central 5 Bedroom Flat,Tollcross,Apartment,Entire home/apt,10,2,5,5,355,93
1 Double & 1 Twin Rm (in good area),"Blackford, West Mains and Mayfield Road",House,Private room,4,1.5,2,4,84,98
Edinburgh Apartment Albion Gardens,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,2,2,2,90,97
Bright room in beautiful Edinburgh!,Polwarth,Apartment,Private room,3,1,1,2,75,93
Beautiful Edinburgh Apartment,Gorgie West,Apartment,Entire home/apt,2,1,1,1,57,93
Modern Edinburgh Apartment,Shandon,Apartment,Entire home/apt,2,1,1,1,55,96
Quiet Double Room in Edinburgh Flat: free parking,Longstone and Saughton,Apartment,Private room,2,1,1,1,40,95
Quiet Garden Flat with Private Parking,Corstorphine,Apartment,Entire home/apt,2,1,1,1,54,99
South facing apartment with balcony,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,5,2,2,3,85,100
Heart of Rose Street Quirky Antique Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,2,2,2,80,98
Edinburgh Flat with garden. Sleeps 4.,Newington and Dalkeith Road,Apartment,Entire home/apt,4,1,1,2,142,98
380 - Spacious top floor flat,Merchiston and Greenhill,Apartment,Entire home/apt,2,1,1,1,278,99
Lovely large double room Marchmont,Marchmont East and Sciennes,Apartment,Private room,2,1.5,1,1,30,91
Historic Georgian Flat with Community Garden,New Town West,Apartment,Entire home/apt,2,1,1,1,85,99
Edinburgh - twin/double with en suite shower room,"Blackford, West Mains and Mayfield Road",House,Private room,2,1,1,2,60,100
"Self Contained Studio Edinburgh, Free Parking",Currie East,Guest suite,Entire home/apt,2,1,0,1,51,96
"Spacious, sunny central top flat",Meadows and Southside,Apartment,Entire home/apt,8,1,3,5,250,97
Private en suite room,Joppa,Bed and breakfast,Private room,3,1,1,2,90,97
399 - Grindlay Street apartment,Tollcross,Apartment,Entire home/apt,4,1,1,1,326,92
398 Stockbridge Colonies Garden Apt,Stockbridge,Apartment,Entire home/apt,2,1,1,1,275,98
400 - Dean Village Apartment,Deans Village,Apartment,Entire home/apt,4,1,2,3,387,97
359 - Castle Terrace Apartment,Tollcross,Apartment,Entire home/apt,6,1,3,3,615,99
Private Double Room overlooking Garden,Pilrig,Apartment,Private room,3,1,1,3,14,85
Apartment on the Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,2,3,5,275,100
Large light loft in green family household,Leith (Hermitage and Prospect Bank),Townhouse,Private room,4,1.5,1,3,28,92
"Historic Edinburgh, Dean Village",Deans Village,Apartment,Private room,2,1,1,1,40,94
Comfy double room in two-story flat near town,Gorgie East,Apartment,Private room,2,1,1,1,30,97
Charming 1BD Flat close to centre,The Grange,Apartment,Entire home/apt,2,1,1,1,65,93
Edinburgh Apartment on the Bridge,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,2,3,131,96
Modern double at vibrant Shore,The Shore and Constitution Street,Townhouse,Private room,2,1.5,1,1,34,98
Basement bedroom with private shower room,The Grange,Guest suite,Private room,2,1,1,1,65,100
Entire House for the Festival,Duddingston and Portobello South,House,Entire home/apt,6,1.5,3,3,150,100
Classic two bedroom Victorian flat,Broughton North and Powderhall,Apartment,Entire home/apt,4,1,2,2,95,98
"A stylish dbl, en suite & breakfast",Marchmont East and Sciennes,Townhouse,Private room,2,2,2,1,98,99
EDINBURGH CITY CENTRE CHARMING MEWS COTTAGE,Deans Village,House,Entire home/apt,2,1,1,1,80,100
"Central comfy room in flat - Central, near castle!",Canonmills and New Town North,Apartment,Private room,2,1,1,1,25,92
3bedroom available over festival,Fernieside and Moredun South,House,Entire home/apt,6,1.5,3,4,120,93
Large modern 3 bedroom apartment in North Fettes,West Pilton,Apartment,Entire home/apt,4,2,3,4,95,97
Amazing City Centre 2 bed apartment-Sleeps 4,Broughton South,Apartment,Entire home/apt,4,2,2,2,60,94
Flat by Leith's vibrant shore area,Great Junction Street,Apartment,Entire home/apt,2,1,1,1,68,97
Attractive  2 Bedroom House,East Craigs North,House,Entire home/apt,4,1,2,3,85,98
Double room. Edinburgh.City centre.,Polwarth,Apartment,Private room,2,1,1,1,27,88
Sunny Central Apartment,Leith (Albert Street),Apartment,Entire home/apt,4,1,1,2,50,90
Lovely central apartment,Pilrig,Apartment,Entire home/apt,8,1,2,4,50,87
Historic 1880's Servants' Quarters with Garden,"Blackford, West Mains and Mayfield Road",Apartment,Entire home/apt,4,2,2,2,149,NA
Charming Victorian City Apartment with en-suite.,Deans Village,Apartment,Private room,2,1,1,1,47,96
"Double room in nice, clean flat near Haymarket",Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,51,96
Private  warm and comfortable room with breakfast.,Deans Village,Bed and breakfast,Private room,2,1,1,1,70,96
Charming 1 Bed Flat in Edinburgh,Leith (Albert Street),Apartment,Entire home/apt,4,1,1,2,65,89
Central Cosy Festival Flat,Leith (Albert Street),Apartment,Entire home/apt,3,1,1,3,90,80
1 Bedroom Flat in Polwarth,Dalry and Fountainbridge,Apartment,Entire home/apt,2,1,1,1,67,95
"Nice, clean, two-bedroom flat near Haymarket",Dalry and Fountainbridge,Apartment,Entire home/apt,4,1,2,2,110,95
Bright 3 bedroom central apartment,Merchiston and Greenhill,Apartment,Entire home/apt,6,1,3,3,100,80
Characterful Victorian 2 bedrooms,Trinity East and The Dudleys,Apartment,Entire home/apt,4,1,2,2,148,97
Lovely Bright & Sunny Central Edinburgh Apartment,Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,35,93
Lovely 2 double bed Edinburgh garden flat,Morningside,Apartment,Entire home/apt,4,1,2,2,35,90
Beautiful double with wifi & tv,Merchiston and Greenhill,Townhouse,Private room,2,1,1,1,70,98
Elegant flat close to city centre,Easter Road and Hawkhill Avenue,Apartment,Entire home/apt,4,2,2,2,91,97
5* Edinburgh City Stylish Apartment,Stockbridge,Apartment,Entire home/apt,2,1,1,1,59,96
Stunning 2BD Victorian flat.,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,1,2,2,100,100
Small Cosy Flat near The Meadows - Sleeps 2,Marchmont East and Sciennes,Apartment,Entire home/apt,2,1,1,1,39,91
Brigh Modern 3 bed  walkng distance of City Centre,"Craigleith, Orchard Brae and Crewe Toll",Apartment,Entire home/apt,6,1,3,4,250,94
"Ground Floor Flat, 2 Large Bedrooms (Sleeps 4)",Meadows and Southside,Apartment,Entire home/apt,4,1,2,2,100,74
"17 min to centre 2 bdrm, direct bus airport/centre",Shandon,Apartment,Entire home/apt,5,1,2,3,55,94
Perfect city pad!,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,95,99
Super central 3 bed flat. Proper Auld Reekie. 1780,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,3,3,175,98
Semidetached sleeps 4. Quite area,Liberton East,House,Entire home/apt,4,1,2,2,70,NA
Luxury Central Apartment nr Castle,Tollcross,Apartment,Entire home/apt,7,2,2,4,125,94
Quiet room 15 min city,Balgreen and Roseburn,Bungalow,Private room,2,1,1,1,65,97
Stunning Victorian family home,Trinity,House,Entire home/apt,7,2,3,5,250,100
Double apartment (for cool people),Easter Road and Hawkhill Avenue,Apartment,Entire home/apt,2,1,1,1,45,94
City centre apartment parking free,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,7,1.5,2,7,78,100
Single room in historic cottage at the Harbour,North Leith and Newhaven,Townhouse,Private room,1,1.5,1,1,27,97
Single or Twin en-suite Room,Gilmerton South and the Murrays,House,Private room,2,1,1,2,35,97
Luxury loft room near Royal Mile (free parking),Abbeyhill,Apartment,Private room,2,2,1,1,52,99
Spacious Apartment in Central Leith with VIEWS!,South Leith,Apartment,Entire home/apt,4,1,2,2,80,99
"Open plan, loft style apartment",South Leith,Loft,Entire home/apt,4,2,1,2,76,99
Double bedroom,North Leith and Newhaven,Apartment,Private room,2,1,1,1,50,99
West End Garden Apartment Room 2,Deans Village,Apartment,Private room,1,1,1,1,60,100
Sunny and bright Leith flat,Great Junction Street,Apartment,Entire home/apt,4,1,1,1,68,97
Capital Guest House (sleeps 3),The Grange,Other,Private room,3,1,1,2,60,90
Double room/private shower,The Grange,House,Private room,2,1,1,1,50,99
A cosy 2-bedroom flat in Edinburgh,Bruntsfield,Apartment,Entire home/apt,4,1,2,2,50,80
Beautiful room & lovely breakfast,"Inverleith, Goldenacre and Warriston",House,Private room,1,2.5,1,1,45,100
Character flat in centre of town,New Town West,Apartment,Private room,1,1,1,1,53,99
Majestic Georgian Flat in the Historic City Centre,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,9,3,4,5,500,99
Lovely central Edinburgh apartment,Abbeyhill,Apartment,Entire home/apt,6,1.5,3,4,155,91
Cosy city room in bright flat /Chambre en appart,Polwarth,Apartment,Private room,1,1,1,1,28,98
Spacious Apartment in the very Heart of Edinburgh,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,7,1,3,4,145,96
Double Room in Edinburgh,Stockbridge,Apartment,Private room,2,1,1,1,50,90
Bright 2 bedrm 17min to Princes St / city centre,Shandon,Apartment,Entire home/apt,4,1,2,3,46,94
Double bed room in quiet area,"Blackford, West Mains and Mayfield Road",House,Private room,2,1,1,1,50,95
202 Annandale Street apartment,New Town East and Gayfield,Apartment,Entire home/apt,6,2,2,3,268,96
Central flat close to castle & 1min to Grassmarket,Tollcross,Apartment,Entire home/apt,2,1,1,1,75,97
Charming Colony House,Dalry and Fountainbridge,House,Entire home/apt,3,1.5,2,2,90,97
"Cute Period Apartment, Broughton Road, Edinburgh",Trinity,Apartment,Entire home/apt,2,1,1,1,50,98
Double bed in Edinburgh,Colinton and Kingsknowe,Apartment,Private room,1,1,1,1,40,98
